candidate	role	license_spdx	license_file	license_head	language	stars	pushed_at	latest_release	latest_published_at	workflow_count	security_policy	root_markers	readme_mentions_self_host
postgres/postgres	canonical relational data store	NOASSERTION	COPYRIGHT	PostgreSQL Database Management System (also known as Postgres, formerly known as Postgres95)	C	22182	2026-09-23T19:09:33Z	UNAVAILABLE	UNAVAILABLE	2	unavailable	src	false
caddyserver/caddy	edge proxy and HTTPS terminator	Apache-2.0	LICENSE	                                  Apache License	Go	76029	2026-09-23T15:31:54Z	v2.11.4	2026-06-03T06:52:22Z	17	unavailable		false
better-auth/better-auth	embedded application authentication	MIT	LICENSE.md	The MIT License (MIT) Copyright (c) 2024 - present, Bereket Engida	TypeScript	30067	2026-09-22T20:49:38Z	v1.7.5	2026-09-14T22:10:06Z	35	available	docker-compose.yml,docs,package.json,packages	false
vercel/next.js	future full-stack web application runtime	MIT	license.md	The MIT License (MIT) 	JavaScript	142410	2026-09-23T19:17:00Z	v16.3.6	2026-09-22T17:15:10Z	55	unavailable	docs,package.json,packages	false
drizzle-team/drizzle-orm	typed SQL/migration interface	Apache-2.0	LICENSE	                                 Apache License                            Version 2.0, January 2004	TypeScript	35872	2026-09-23T17:33:03Z	drizzle-kit@0.31.11	2026-09-21T10:02:50Z	10	available	docs,drizzle-orm,package.json	false
coollabsio/coolify	optional self-host deployment console	Apache-2.0	LICENSE	                                Apache License                            Version 2.0, January 2004	PHP	62193	2026-09-23T13:18:39Z	v4.3.23	2026-09-18T13:38:15Z	23	available	docker-compose.yml,docker,docs,package.json	true
supabase/supabase	full self-host platform alternative	Apache-2.0	LICENSE	                                 Apache License                            Version 2.0, January 2004	TypeScript	110700	2026-09-23T19:12:52Z	v1.26.08	2026-08-07T13:57:57Z	68	unavailable	docker,package.json,packages	true
umami-software/umami	optional first-party analytics service	MIT	LICENSE	MIT License 	TypeScript	38974	2026-09-23T17:03:30Z	v3.4.0	2026-09-17T04:21:49Z	7	unavailable	Dockerfile,docker-compose.yml,docker,docs,package.json,packages,src	true
